"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
SA ,5582,364,"19,152","23,693",312,"35,552","43,701",323,"36,927","49,439",335,"35,244","43,978",323,"35,702","42,882",
SA ,5583,412,"18,919","24,698",391,"32,344","39,413",356,"31,986","43,782",365,"28,680","37,181",372,"29,486","37,756",
SA ,5600,"3,721","32,259","37,284","3,721","53,473","63,856","3,664","52,825","64,269","3,537","50,894","62,125","3,504","50,040","60,315",
SA ,5602,680,"23,307","27,414",717,"39,357","52,032",732,"36,814","49,486",709,"37,854","51,861",696,"36,758","46,539",
SA ,5603,278,"25,267","28,254",241,"36,911","41,621",245,"37,415","46,746",262,"42,775","48,480",269,"42,197","49,070",
SA ,5605,"1,041","24,680","29,348","1,034","35,364","45,124","1,020","35,892","44,750","1,026","37,347","46,632","1,038","35,940","44,292",
SA ,5606,"8,747","27,327","32,586","8,742","40,251","50,152","8,525","40,957","51,152","8,492","40,637","50,619","8,609","41,390","50,977",
SA ,5607,"1,273","23,823","28,207","1,690","35,108","42,949","1,838","36,710","44,869","1,928","38,162","46,367","2,041","39,682","48,231",
SA ,5608,"6,167","26,774","31,423","6,120","45,563","55,371","5,869","45,576","55,798","5,503","44,257","54,215","5,380","42,754","52,242",
SA ,5609,401,"31,883","36,952",744,"63,737","69,390",790,"62,996","69,355",897,"56,441","65,783",993,"52,923","63,556",
SA ,5631,760,"27,743","36,700",789,"43,225","55,774",798,"40,518","47,912",799,"43,857","54,483",788,"44,765","55,839",
SA ,5633,316,"27,928","37,385",219,"32,155","37,021",211,"38,442","41,560",200,"39,895","47,457",207,"40,021","39,740",
SA ,5640,799,"26,450","30,803",674,"39,933","45,400",661,"41,928","46,741",672,"40,603","47,146",649,"42,127","49,154",
SA ,5641,780,"27,012","32,022",643,"40,284","47,003",642,"40,797","49,608",640,"37,613","44,283",651,"37,979","47,350",
SA ,5652,511,"24,921","31,056",466,"40,643","48,147",476,"42,018","46,774",451,"39,354","46,163",455,"43,084","49,999",
SA ,5670,302,"21,981","25,536",270,"32,719","40,416",273,"39,917","44,527",276,"36,452","40,960",276,"39,573","45,804",
SA ,5680,"1,172","21,116","25,764","1,271","36,363","45,508","1,289","38,041","47,494","1,296","36,752","45,335","1,320","36,621","46,312",
SA ,5690,"2,275","23,334","26,661","2,214","39,983","47,441","2,214","42,137","49,896","2,174","41,985","48,962","2,141","44,239","51,155",
SA ,5700,"6,500","27,985","31,309","5,733","43,368","51,897","5,569","44,311","52,587","5,420","43,816","52,868","5,427","43,684","52,060",
SA ,5710,999,"27,817","31,820","1,292","47,189","56,911","1,265","47,496","56,810","1,258","48,967","58,245","1,263","49,336","58,040",
SA ,5722,256,"24,797","31,891",209,"44,802","55,498",na,na,na,na,na,na,na,na,na,
SA ,5723,966,"19,466","23,425",847,"39,046","44,546",813,"38,635","44,653",807,"39,477","44,911",831,"39,117","44,697",
SA ,5725,"2,457","49,035","50,023","2,616","81,293","89,042","2,422","82,540","91,421","2,297","79,524","84,229","2,517","80,697","84,257",
SA ,5731,456,"38,256","44,039",330,"62,295","68,907",312,"61,891","70,193",na,na,na,na,na,na,
TAS,7000,"8,332","30,642","36,831","8,541","44,271","57,819","8,644","44,514","59,423","8,750","45,145","58,498","9,087","44,627","58,473",
TAS,7001,na,na,na,na,na,na,na,na,na,na,na,na,521,"21,428","75,266",
TAS,7004,"4,329","30,359","39,939","4,507","42,859","61,228","4,537","43,773","61,861","4,638","43,332","63,284","4,702","44,033","62,337",
TAS,7005,"8,295","30,749","44,285","8,129","41,407","67,153","8,264","42,068","67,715","8,396","41,242","67,681","8,627","41,044","67,308",
TAS,7007,"1,839","32,820","37,631","1,818","46,460","60,558","1,815","47,827","61,165","1,873","47,189","62,019","1,976","45,754","61,211",
TAS,7008,"7,151","29,932","32,512","6,934","44,414","53,617","7,051","45,301","54,529","7,282","46,109","55,216","7,439","46,269","55,677",
TAS,7009,"6,830","25,856","27,963","6,335","38,246","43,559","6,369","40,064","44,430","6,613","39,980","44,423","6,936","40,610","44,762",
TAS,7010,"7,811","25,952","28,104","7,433","38,582","41,842","7,710","39,624","42,695","7,949","40,448","43,854","8,318","40,114","43,551",
TAS,7011,"7,091","27,275","28,998","7,136","39,679","43,150","7,224","40,622","43,777","7,384","41,720","45,071","7,574","42,055","45,409",
TAS,7012,470,"27,111","29,741",450,"44,492","46,478",467,"43,763","47,309",483,"44,912","48,037",481,"45,353","48,263",
TAS,7015,"6,044","29,512","33,224","6,041","42,691","49,669","6,050","43,740","50,779","6,193","44,093","51,802","6,337","44,934","52,567",
TAS,7016,"1,025","23,841","24,360",942,"35,707","38,750",967,"36,672","39,362",978,"38,445","41,367","1,033","39,776","41,980",
TAS,7017,"2,238","30,363","32,944","3,088","43,039","48,116","3,226","44,571","49,598","3,340","46,377","51,192","3,424","46,557","51,633",
TAS,7018,"11,601","28,444","32,420","11,834","42,362","50,164","11,975","43,145","51,441","12,161","43,764","52,650","12,501","44,721","52,840",
TAS,7019,"2,120","21,562","23,271","2,340","38,155","41,088","2,445","39,104","41,946","2,678","39,729","42,282","2,877","40,534","43,294",
TAS,7020,"1,429","31,175","34,598","1,562","44,368","53,453","1,590","44,987","54,086","1,591","45,206","56,161","1,641","48,309","56,528",
TAS,7021,"1,617","29,602","34,064","1,461","42,665","51,381","1,525","43,886","51,892","1,498","44,431","53,297","1,530","44,807","53,003",
TAS,7022,479,"25,152","28,482",494,"40,532","43,576",501,"41,855","46,654",529,"42,084","46,595",540,"42,212","47,674",
TAS,7023,na,na,na,na,na,na,na,na,na,202,"39,074","49,213",211,"38,737","48,830",
TAS,7024,290,"30,338","33,029",344,"44,976","49,804",345,"44,481","53,785",341,"46,184","54,018",332,"47,886","56,488",
TAS,7025,"1,128","26,625","29,946","1,110","40,741","49,419","1,122","41,467","51,254","1,139","41,639","52,333","1,158","42,203","53,121",
TAS,7026,464,"25,376","26,174",512,"35,036","39,432",513,"37,113","41,892",519,"37,624","41,729",526,"38,131","42,517",
TAS,7030,"6,879","24,291","26,930","7,518","37,945","42,458","7,672","39,047","43,683","7,986","39,887","44,060","8,486","41,211","45,152",
TAS,7050,"5,846","28,368","31,687","6,615","41,262","48,440","6,679","42,041","49,453","6,823","43,179","50,438","7,055","42,733","50,837",
TAS,7051,na,na,na,na,na,na,na,na,na,na,na,na,214,"40,620","48,998",
TAS,7052,"4,155","29,157","34,618","4,058","42,592","52,689","4,189","43,817","53,801","4,237","44,263","54,802","4,383","45,164","54,371",
TAS,7053,"2,222","31,958","34,383","2,103","45,374","59,943","2,118","45,865","61,505","2,136","47,360","61,665","2,183","46,745","62,289",
TAS,7054,"3,900","28,317","32,116","4,909","42,839","50,036","4,994","43,536","51,549","5,135","44,620","52,018","5,311","45,538","53,381",
TAS,7055,277,"29,007","31,153",227,"41,921","45,667",231,"44,462","47,864",235,"45,942","47,997",243,"44,539","50,112",
TAS,7109,"4,025","22,808","24,935","4,527","36,074","43,848","4,624","36,867","45,512","4,784","37,239","44,768","4,984","38,073","46,083",
TAS,7112,"1,414","19,009","23,898","1,455","32,779","39,796","1,484","31,521","41,191","1,535","33,414","42,585","1,580","34,224","43,530",
TAS,7113,490,"19,598","25,117",532,"34,777","40,732",565,"37,392","43,139",566,"35,630","43,091",574,"37,019","46,533",
TAS,7116,986,"22,801","25,002","1,032","33,933","39,135","1,067","34,311","41,618","1,093","34,231","40,887","1,140","35,397","41,736",
TAS,7117,533,"22,518","27,175",471,"36,738","44,481",467,"36,616","47,270",467,"37,308","45,331",487,"35,292","44,166",
TAS,7120,949,"21,653","26,392",816,"32,181","36,250",826,"32,395","36,677",817,"33,338","36,614",843,"35,068","39,503",
TAS,7140,"5,349","25,039","28,005","5,092","37,023","41,941","5,230","37,283","42,469","5,300","38,102","42,694","5,504","38,874","43,140",
TAS,7150,"1,396","24,444","29,820","1,560","36,796","45,352","1,564","36,227","46,345","1,630","38,379","47,979","1,657","39,095","48,082",
TAS,7155,457,"24,957","29,129",464,"35,423","43,774",462,"36,366","47,550",494,"36,208","46,500",499,"38,937","50,754",
TAS,7162,385,"21,923","28,046",401,"32,091","44,051",371,"33,529","47,239",377,"37,324","51,672",394,"34,024","49,996",
TAS,7163,na,na,na,na,na,na,na,na,na,na,na,na,200,"37,861","44,959",
TAS,7170,"2,665","31,287","36,626","3,052","44,273","55,790","3,130","45,441","57,265","3,185","47,092","58,476","3,376","48,506","60,074",
TAS,7171,"1,511","28,626","30,028","1,695","40,837","44,904","1,691","42,135","46,592","1,741","42,830","48,353","1,844","44,772","48,469",
TAS,7172,"1,639","25,847","27,604","1,781","38,266","42,579","1,843","39,464","44,905","1,953","40,233","45,529","2,016","41,363","45,230",
TAS,7173,"2,787","25,691","28,017","3,360","37,471","42,539","3,422","38,979","43,733","3,496","40,208","45,026","3,648","40,754","45,966",
TAS,7177,269,"21,143","25,389",235,"31,947","39,340",242,"34,890","38,936",233,"34,370","38,273",250,"35,989","40,727",
TAS,7179,217,"20,518","26,579",229,"27,362","39,180",229,"30,709","40,782",231,"31,468","39,613",220,"34,093","42,742",
TAS,7184,394,"20,915","23,458",355,"28,418","33,614",359,"29,610","34,910",348,"30,732","35,749",355,"33,740","39,508",
TAS,7190,"1,737","22,269","26,058","1,560","31,403","38,998","1,570","32,126","38,719","1,589","31,700","39,494","1,629","32,848","41,073",
TAS,7209,231,"21,442","25,875",223,"33,194","45,963",218,"35,423","50,201",226,"32,755","44,483",217,"33,151","51,697",
TAS,7210,543,"22,490","28,340",479,"34,524","40,845",510,"34,939","41,393",505,"33,761","42,793",505,"35,667","41,538",
TAS,7212,"1,098","26,817","31,314","1,040","38,206","45,133","1,049","39,216","47,144","1,028","39,671","48,397","1,066","39,156","48,423",
TAS,7214,301,"17,688","25,071",225,"32,312","43,773",222,"31,432","41,455",235,"33,640","42,511",241,"33,803","44,452",
TAS,7215,"1,765","18,981","24,062","1,739","30,216","40,462","1,811","31,605","41,369","1,797","32,437","41,498","1,857","32,511","39,502",
TAS,7216,"1,698","19,037","24,457","1,525","29,056","36,542","1,540","29,051","37,606","1,599","28,311","36,663","1,580","28,006","36,963",
TAS,7248,"6,167","23,049","25,641","6,396","35,236","39,073","6,518","35,476","39,619","6,716","35,493","39,729","7,041","35,262","39,788",
TAS,7249,"4,985","26,762","27,411","5,817","39,822","44,799","5,999","40,461","46,012","6,259","41,604","47,305","6,378","41,832","47,448",
TAS,7250,"29,644","27,727","32,770","27,894","40,481","50,871","27,891","41,621","52,441","27,736","42,475","53,245","28,131","43,303","53,904",
TAS,7252,"1,438","28,039","33,010","1,519","40,791","52,367","1,556","41,527","51,694","1,607","41,680","51,277","1,628","41,742","50,912",
TAS,7253,"2,431","24,117","28,950","1,879","36,991","44,984","1,912","37,777","45,086","2,001","38,285","45,433","2,016","38,100","45,013",
TAS,7254,361,"23,539","24,865",288,"36,252","42,606",295,"36,100","40,146",301,"36,376","41,350",296,"39,391","41,678",
TAS,7255,546,"22,392","27,339",500,"33,502","40,515",498,"33,754","44,141",514,"35,602","44,352",509,"37,150","45,326",
TAS,7256,"1,236","26,588","27,479",970,"37,073","43,914",988,"39,007","47,312",996,"43,327","55,267","1,015","42,607","50,679",
TAS,7258,567,"32,488","41,561",538,"42,428","63,940",546,"46,037","66,700",581,"47,999","69,321",571,"48,923","68,621",
TAS,7259,307,"25,490","26,518",266,"37,270","42,926",260,"36,966","41,973",274,"38,061","41,635",276,"37,821","44,717",
TAS,7260,"1,770","25,377","28,565","1,617","34,311","39,220","1,628","36,016","40,260","1,612","36,036","40,668","1,652","37,410","41,902",
TAS,7262,979,"22,974","27,276",944,"34,613","42,532",962,"35,969","44,181",955,"37,436","46,912",956,"37,068","46,280",
TAS,7263,321,"20,285","25,509",291,"31,302","40,153",290,"30,537","39,657",297,"27,615","34,372",301,"31,088","35,530",
TAS,7264,332,"18,974","23,233",268,"29,198","37,487",275,"29,586","39,168",291,"27,278","35,296",275,"31,178","35,412",
TAS,7267,466,"25,679","28,474",461,"37,659","42,188",447,"38,805","42,687",474,"39,222","43,661",470,"41,111","45,824",
TAS,7268,578,"25,382","28,631",569,"40,544","46,456",576,"41,575","47,115",570,"40,855","47,440",580,"40,889","45,638",
TAS,7270,"1,976","23,039","28,000","1,942","34,568","43,364","1,945","34,175","42,631","1,965","34,888","43,534","1,966","35,262","42,783",
TAS,7275,"1,742","24,517","28,792","1,776","35,617","44,003","1,765","36,691","45,055","1,756","36,855","45,356","1,775","37,173","46,152",
TAS,7276,297,"22,746","26,504",290,"36,488","41,827",294,"35,889","41,416",305,"36,595","41,761",302,"38,291","44,289",
TAS,7277,"2,583","26,949","31,545","3,022","39,033","47,662","3,109","41,054","49,236","3,265","41,142","49,800","3,322","42,267","50,488",
TAS,7290,"1,206","28,623","30,021","1,214","39,972","43,666","1,253","41,558","45,458","1,341","42,210","45,467","1,328","42,957","46,751",
TAS,7291,294,"27,823","32,086",304,"40,643","47,545",317,"41,143","48,663",323,"43,106","48,650",336,"42,920","48,130",
TAS,7292,331,"26,531","28,627",344,"35,067","39,837",347,"37,296","44,398",339,"40,849","48,363",358,"39,206","45,214",
TAS,7300,"1,636","28,947","30,731","1,824","40,174","45,876","1,856","41,342","48,027","1,954","42,514","47,600","1,986","43,313","49,028",
TAS,7301,"2,211","26,197","28,879","2,312","36,751","44,189","2,327","39,319","47,585","2,341","39,358","46,786","2,383","39,465","47,476",
TAS,7302,999,"24,969","28,341",901,"35,364","41,959",908,"36,749","43,023",920,"38,219","41,958",938,"37,504","42,770",
TAS,7303,"1,430","22,481","27,601","1,399","35,732","44,599","1,388","35,798","43,851","1,404","36,557","44,393","1,412","38,031","45,581",
TAS,7304,"3,176","21,016","24,848","3,047","32,287","39,501","3,062","32,746","40,280","3,065","33,214","40,266","3,105","33,964","41,709",
TAS,7305,576,"20,771","25,126",536,"35,095","39,803",536,"37,610","41,506",539,"37,135","41,314",553,"38,513","42,622",
TAS,7306,"1,884","21,421","25,672","2,017","32,596","40,452","2,022","33,651","41,234","2,083","34,097","41,992","2,133","35,502","41,600",
TAS,7307,"4,445","26,176","30,325","5,231","38,083","45,681","5,318","39,026","47,269","5,501","39,594","47,433","5,633","39,947","48,990",
TAS,7310,"14,425","25,353","29,414","13,879","36,830","44,523","14,047","37,549","45,142","14,279","38,072","46,762","14,450","38,489","45,986",
TAS,7315,"7,762","25,016","29,023","7,535","36,794","43,521","7,481","37,894","45,653","7,587","38,649","45,745","7,781","39,320","46,040",
TAS,7316,"3,153","25,369","29,102","3,212","37,956","47,192","3,214","39,869","48,257","3,322","40,145","47,944","3,417","40,743","49,061",
TAS,7320,"9,180","25,430","30,464","8,565","39,203","47,318","8,525","40,160","48,356","8,525","40,578","48,506","8,603","40,520","48,118",
TAS,7321,"2,098","24,807","28,763","2,177","38,383","46,982","2,224","38,687","45,615","2,292","38,205","45,490","2,296","38,842","46,163",
TAS,7322,"1,999","25,872","28,981","1,935","39,480","47,267","1,923","40,461","48,548","1,955","40,318","48,891","1,978","41,154","48,146",
TAS,7325,"4,431","23,670","27,430","4,307","36,940","44,646","4,326","38,551","45,943","4,349","38,815","45,626","4,382","39,556","46,621",
TAS,7330,"3,933","26,063","28,334","3,654","39,500","43,930","3,637","40,320","45,652","3,666","39,933","45,278","3,688","40,355","46,039",
TAS,7331,366,"25,522","29,485",349,"37,515","45,591",358,"41,123","50,453",356,"41,161","48,592",343,"42,936","49,718",
TAS,7467,"1,140","25,864","31,793",858,"44,941","54,881",782,"41,758","49,518",785,"38,000","47,817",803,"39,169","46,763",
TAS,7468,464,"24,811","29,058",405,"43,009","51,692",410,"44,423","52,549",414,"44,049","51,492",430,"42,584","50,866",
TAS,7469,427,"22,207","29,872",361,"43,627","55,550",341,"43,261","55,242",353,"44,209","56,023",350,"48,020","59,134",
TAS,7470,492,"27,944","34,771",373,"51,034","66,736",350,"52,299","65,668",321,"56,246","68,461",336,"53,755","67,512",
VIC,3000,"7,388","26,649","43,854","18,163","30,160","52,829","20,561","28,654","50,108","21,585","29,300","52,515","23,297","29,196","51,761",
VIC,3001,na,na,na,na,na,na,na,na,na,na,na,na,297,"46,063","268,781",
VIC,3002,"3,070","39,872","66,728","3,586","59,384","112,768","3,530","61,008","114,843","3,586","64,297","119,280","3,636","64,936","130,048",
VIC,3003,"1,690","31,524","40,221","2,947","44,297","57,488","3,227","44,615","58,095","3,571","44,228","59,999","3,941","43,618","59,351",
VIC,3004,"4,090","36,787","67,390","6,869","53,004","92,513","7,084","53,768","86,624","6,941","56,433","87,809","7,360","56,087","88,947",
VIC,3006,"3,947","34,711","47,190","10,470","49,748","68,055","11,375","49,880","71,389","12,289","50,067","70,515","12,721","48,768","69,895",
VIC,3008,"1,510","38,839","53,060","6,016","49,842","68,430","6,576","51,089","72,583","7,164","51,155","70,764","8,645","48,937","65,743",
VIC,3011,"9,291","26,793","30,908","11,662","41,236","49,377","12,275","41,605","50,543","12,923","43,162","52,051","13,713","44,932","53,981",
VIC,3012,"10,590","28,757","31,234","13,724","43,551","50,989","14,334","44,669","52,091","15,009","45,489","53,426","15,738","47,285","55,200",
VIC,3013,"7,742","33,934","37,298","8,565","52,657","64,322","8,725","53,881","66,550","9,119","56,514","69,084","9,266","59,057","72,158",
VIC,3015,"8,670","33,409","37,867","9,916","52,652","64,899","10,152","54,599","67,041","10,424","56,590","70,392","10,786","58,405","72,413",
VIC,3016,"9,253","36,477","46,398","9,485","52,192","77,373","9,466","54,661","77,520","9,720","54,873","80,986","9,890","55,949","83,343",
VIC,3018,"7,290","30,338","34,777","7,273","46,589","55,882","7,471","47,350","56,915","7,647","48,963","59,517","7,968","50,158","61,481",
VIC,3019,"2,533","24,256","26,898","3,801","35,321","39,746","3,990","35,579","40,139","4,277","36,470","41,794","4,477","36,089","42,303",
VIC,3020,"16,991","26,467","28,971","19,901","36,394","41,065","20,676","36,874","41,929","21,676","37,492","42,423","22,618","37,785","43,431",
VIC,3021,"25,021","26,448","28,620","23,309","36,171","39,755","24,026","36,143","39,793","24,953","36,309","40,482","25,615","36,436","40,744",
